2025-06-06 13:15:24,987 - INFO - [Epoch 82/100] Dataset: CHASEDB_1 | Loss: 2.9109 | Acc: 0.9699 | F1: 0.7763 | IoU: 0.6344 | Recall: 0.8277 | Specificity: 0.9795 | 
2025-06-06 13:15:26,697 - INFO - [Epoch 83/100] Dataset: CHASEDB_1 | Loss: 2.9461 | Acc: 0.9649 | F1: 0.7603 | IoU: 0.6133 | Recall: 0.8834 | Specificity: 0.9704 | 
2025-06-06 13:15:28,443 - INFO - [Epoch 84/100] Dataset: CHASEDB_1 | Loss: 3.0331 | Acc: 0.9678 | F1: 0.7690 | IoU: 0.6247 | Recall: 0.8498 | Specificity: 0.9758 | 
2025-06-06 13:15:30,155 - INFO - [Epoch 85/100] Dataset: CHASEDB_1 | Loss: 2.8985 | Acc: 0.9695 | F1: 0.7782 | IoU: 0.6369 | Recall: 0.8484 | Specificity: 0.9777 | 
2025-06-06 13:15:31,941 - INFO - [Epoch 86/100] Dataset: CHASEDB_1 | Loss: 2.8538 | Acc: 0.9659 | F1: 0.7652 | IoU: 0.6196 | Recall: 0.8823 | Specificity: 0.9715 | 
2025-06-06 13:15:33,687 - INFO - [Epoch 87/100] Dataset: CHASEDB_1 | Loss: 2.7651 | Acc: 0.9681 | F1: 0.7738 | IoU: 0.6310 | Recall: 0.8652 | Specificity: 0.9750 | 
2025-06-06 13:15:35,450 - INFO - [Epoch 88/100] Dataset: CHASEDB_1 | Loss: 2.7872 | Acc: 0.9722 | F1: 0.7854 | IoU: 0.6466 | Recall: 0.8071 | Specificity: 0.9833 | 
2025-06-06 13:15:37,188 - INFO - [Epoch 89/100] Dataset: CHASEDB_1 | Loss: 2.7420 | Acc: 0.9656 | F1: 0.7636 | IoU: 0.6175 | Recall: 0.8821 | Specificity: 0.9712 | 
2025-06-06 13:15:38,995 - INFO - [Epoch 90/100] Dataset: CHASEDB_1 | Loss: 2.8199 | Acc: 0.9673 | F1: 0.7709 | IoU: 0.6273 | Recall: 0.8730 | Specificity: 0.9736 | 
2025-06-06 13:15:40,732 - INFO - [Epoch 91/100] Dataset: CHASEDB_1 | Loss: 2.8956 | Acc: 0.9698 | F1: 0.7758 | IoU: 0.6337 | Recall: 0.8278 | Specificity: 0.9794 | 
2025-06-06 13:15:42,545 - INFO - [Epoch 92/100] Dataset: CHASEDB_1 | Loss: 2.8073 | Acc: 0.9657 | F1: 0.7654 | IoU: 0.6200 | Recall: 0.8887 | Specificity: 0.9708 | 
2025-06-06 13:15:44,280 - INFO - [Epoch 93/100] Dataset: CHASEDB_1 | Loss: 2.7573 | Acc: 0.9670 | F1: 0.7705 | IoU: 0.6267 | Recall: 0.8800 | Specificity: 0.9728 | 
2025-06-06 13:15:46,048 - INFO - [Epoch 94/100] Dataset: CHASEDB_1 | Loss: 2.6908 | Acc: 0.9696 | F1: 0.7795 | IoU: 0.6386 | Recall: 0.8513 | Specificity: 0.9776 | 
